yellow_cards,goals_conceded,saves,influence,goals_scored,id,first_name,own_goals,creativity,end_cost,ict_index,season,total_points,penalties_missed,start_cost,element_code,bonus,season_name,clean_sheets,assists,ea_index,penalties_saved,minutes,bps,element_type,threat,team,red_cards,second_name
1,9,58,0.0,0,1,Petr,0,0.0,64,0.0,1,98,0,65,11334,1,2006/07,0,0,0,0,1714,0,1,0.0,3,0,Cech
0,17,60,0.0,0,1,Petr,0,0.0,65,0.0,2,120,0,65,11334,2,2007/08,0,0,0,0,2313,0,1,0.0,3,0,Cech
0,24,87,0.0,0,1,Petr,0,0.0,60,0.0,3,171,0,60,11334,7,2008/09,0,0,0,1,3150,0,1,0.0,3,0,Cech
0,26,66,0.0,0,1,Petr,1,0.0,62,0.0,4,144,0,65,11334,0,2009/10,0,1,0,1,3020,0,1,0.0,3,1,Cech
0,33,98,0.0,0,1,Petr,0,0.0,67,0.0,5,158,0,65,11334,2,2010/11,15,1,0,1,3420,0,1,0.0,3,0,Cech
0,39,94,0.0,0,1,Petr,0,0.0,68,0.0,6,127,0,70,11334,7,2011/12,10,0,399,0,3060,0,1,0.0,3,0,Cech
2,36,126,0.0,0,1,Petr,0,0.0,64,0.0,7,144,0,65,11334,2,2012/13,14,0,502,0,3195,0,1,0.0,3,0,Cech
0,24,82,0.0,0,1,Petr,0,0.0,62,0.0,8,146,0,65,11334,1,2013/14,16,0,417,0,3060,163,1,0.0,3,0,Cech
0,2,16,0.0,0,1,Petr,0,0.0,54,0.0,9,38,0,60,11334,0,2014/15,5,0,103,0,607,129,1,0.0,3,0,Cech
0,31,101,0.0,0,1,Petr,0,0.0,59,0.0,10,159,0,55,11334,15,2015/16,16,0,409,0,3060,705,1,0.0,3,0,Cech
2,37,115,819.8,0,1,Petr,1,0.1,54,82.0,11,134,0,55,11334,2,2016/17,12,0,0,0,3097,660,1,0.0,3,0,Cech
1,48,90,722.4,0,1,Petr,0,0.0,53,71.9,12,124,0,55,11334,7,2017/18,11,0,0,1,3039,627,1,0.0,3,0,Cech
5,36,0,0.0,2,3,Laurent,0,0.0,59,0.0,5,85,0,60,51507,0,2010/11,9,0,0,0,2617,0,2,0.0,3,2,Koscielny
8,42,0,0.0,2,3,Laurent,2,0.0,58,0.0,6,103,0,60,51507,5,2011/12,11,1,436,0,2871,0,2,0.0,3,0,Koscielny
1,19,0,0.0,2,3,Laurent,0,0.0,53,0.0,7,88,0,55,51507,11,2012/13,7,1,285,0,1675,0,2,0.0,3,1,Koscielny
1,26,0,0.0,2,3,Laurent,0,0.0,56,0.0,8,155,0,55,51507,24,2013/14,17,0,463,0,2739,228,2,0.0,3,1,Koscielny
4,19,0,0.0,3,3,Laurent,0,0.0,61,0.0,9,120,0,60,51507,15,2014/15,11,0,387,0,2287,575,2,0.0,3,0,Koscielny
3,31,0,0.0,4,3,Laurent,0,0.0,63,0.0,10,153,0,60,51507,18,2015/16,15,0,493,0,2845,790,2,0.0,3,0,Koscielny
4,37,0,831.2,2,3,Laurent,0,53.9,61,112.7,11,121,0,60,51507,19,2016/17,10,1,0,0,2821,723,2,239.0,3,1,Koscielny
4,32,0,692.0,2,3,Laurent,0,123.8,60,95.5,12,100,0,60,51507,16,2017/18,9,0,0,0,2225,556,2,137.0,3,0,Koscielny
0,0,0,0.0,0,4,Héctor,0,0.0,45,0.0,8,0,0,45,98745,0,2013/14,0,0,0,0,0,0,2,0.0,3,0,Bellerín
5,15,0,0.0,2,4,Héctor,0,0.0,48,0.0,9,77,0,45,98745,5,2014/15,7,1,302,0,1563,372,2,0.0,3,0,Bellerín
3,33,0,0.0,1,4,Héctor,0,0.0,65,0.0,10,172,0,55,98745,18,2015/16,18,6,541,0,3240,871,2,0.0,3,0,Bellerín
4,34,0,437.6,1,4,Héctor,0,508.3,65,133.8,11,119,0,65,98745,12,2016/17,10,5,0,0,2503,569,2,395.0,3,0,Bellerín
5,44,0,554.0,2,4,Héctor,0,561.0,59,160.1,12,132,0,60,98745,11,2017/18,12,4,0,0,3050,656,2,484.0,3,0,Bellerín
2,5,0,0.0,1,5,Nacho,0,0.0,51,0.0,7,50,0,55,38411,5,2012/13,5,1,145,0,791,0,2,0.0,3,0,Monreal
2,17,0,0.0,0,5,Nacho,0,0.0,47,0.0,8,63,0,55,38411,2,2013/14,8,1,208,0,1184,101,2,0.0,3,0,Monreal
3,23,0,0.0,0,5,Nacho,0,0.0,49,0.0,9,92,0,50,38411,6,2014/15,9,2,361,0,2311,553,2,0.0,3,0,Monreal
1,34,0,0.0,0,5,Nacho,0,0.0,59,0.0,10,152,0,55,38411,14,2015/16,17,3,511,0,3249,862,2,0.0,3,0,Monreal
5,43,0,554.0,0,5,Nacho,0,280.3,59,105.8,11,115,0,60,38411,9,2016/17,11,3,0,0,3153,681,2,220.0,3,0,Monreal
3,29,0,693.6,5,5,Nacho,0,238.7,57,124.0,12,130,0,55,38411,15,2017/18,10,2,0,0,2241,604,2,305.0,3,0,Monreal
3,8,0,172.0,0,6,Rob,0,49.2,41,32.2,11,32,0,45,156074,3,2016/17,4,0,0,0,810,171,2,100.0,3,0,Holding
3,17,0,212.2,0,6,Rob,0,39.3,44,27.5,12,27,0,50,156074,1,2017/18,3,1,0,0,819,196,2,24.0,3,0,Holding
0,0,0,0.0,0,7,Shkodran,0,0.0,45,0.0,4,0,0,45,69140,0,2009/10,0,0,0,0,0,0,2,0.0,3,0,Mustafi
0,0,0,0.0,0,7,Shkodran,0,0.0,40,0.0,5,0,0,40,69140,0,2010/11,0,0,0,0,0,0,2,0.0,3,0,Mustafi
0,0,0,0.0,0,7,Shkodran,0,0.0,50,0.0,6,0,0,50,69140,0,2011/12,0,0,0,0,0,0,2,0.0,3,0,Mustafi
0,0,0,0.0,0,7,Shkodran,0,0.0,40,0.0,7,0,0,40,69140,0,2012/13,0,0,0,0,0,0,2,0.0,3,0,Mustafi
11,30,0,598.2,2,7,Shkodran,0,159.7,58,112.4,11,90,0,60,69140,8,2016/17,8,2,0,0,2274,513,2,364.0,3,0,Mustafi
6,30,0,836.6,3,7,Shkodran,0,129.9,54,117.0,12,109,0,55,69140,13,2017/18,10,1,0,0,2272,610,2,202.0,3,0,Mustafi
3,30,0,443.2,2,8,Sead,0,334.9,58,118.3,12,108,0,60,111457,6,2017/18,10,4,0,0,2146,510,2,404.0,3,0,Kolasinac
0,5,0,52.2,0,10,Konstantinos,0,1.3,42,5.5,12,4,0,45,233963,0,2017/18,1,0,0,0,194,41,2,2.0,3,1,Mavropanos
0,23,0,0.0,5,13,Mesut,0,0.0,96,0.0,8,137,0,100,37605,18,2013/14,13,10,641,0,2141,162,3,0.0,3,0,Özil
0,16,0,0.0,4,13,Mesut,0,0.0,90,0.0,9,103,0,90,37605,13,2014/15,9,6,463,0,1857,511,3,0.0,3,0,Özil
4,31,0,0.0,6,13,Mesut,0,0.0,92,0.0,10,200,0,85,37605,30,2015/16,17,19,783,0,3036,861,3,0.0,3,0,Özil
2,30,0,834.4,8,13,Mesut,0,1649.3,95,322.0,11,167,0,95,37605,19,2016/17,12,11,0,0,2841,729,3,734.0,3,0,Özil
4,36,0,640.6,4,13,Mesut,0,1287.5,93,248.6,12,112,0,95,37605,11,2017/18,8,9,0,0,2161,506,3,555.0,3,0,Özil
1,3,0,0.0,0,14,Aaron,0,0.0,47,0.0,3,13,0,55,41792,0,2008/09,0,1,0,0,230,0,3,0.0,3,0,Ramsey
0,5,0,0.0,3,14,Aaron,0,0.0,43,0.0,4,56,0,50,41792,6,2009/10,0,3,0,0,786,0,3,0.0,3,0,Ramsey
1,8,0,0.0,1,14,Aaron,0,0.0,60,0.0,5,18,0,60,41792,3,2010/11,1,0,0,0,355,0,3,0.0,3,0,Ramsey
3,34,0,0.0,2,14,Aaron,1,0.0,60,0.0,6,105,0,65,41792,7,2011/12,13,6,312,0,2464,0,3,0.0,3,0,Ramsey
5,19,0,0.0,1,14,Aaron,0,0.0,54,0.0,7,83,0,60,41792,5,2012/13,7,5,312,0,2096,0,3,0.0,3,0,Ramsey
