first_name,second_name,actual,predicted,element_type,diff
Petr,Cech,24,24.015947,1,0.015947341918945312
Laurent,Koscielny,0,0.022485077,2,0.022485077381134033
HÃ©ctor,BellerÃ­n,42,41.9812,2,0.018798828125
Nacho,Monreal,30,30.015877,2,0.01587677001953125
Rob,Holding,24,23.997282,2,0.0027179718017578125
Shkodran,Mustafi,42,41.992626,2,0.007373809814453125
Sead,Kolasinac,17,17.140532,2,0.1405315399169922
Mesut,Ãzil,46,46.014297,3,0.0142974853515625
Aaron,Ramsey,47,46.47754,3,0.5224609375
Alex,Iwobi,32,31.902538,3,0.09746170043945312
Mohamed,Elneny,0,0.027697057,3,0.027697056531906128
Granit,Xhaka,42,41.611263,3,0.3887367248535156
Jack,Wilshere,11,11.011054,3,0.011054039001464844
Danny,Welbeck,19,18.998478,4,0.001522064208984375
Lucas,PÃ©rez,17,17.128056,4,0.12805557250976562
Alexandre,Lacazette,71,70.91105,4,0.08895111083984375
Henrikh,Mkhitaryan,36,35.79366,3,0.20634078979492188
Calum,Chambers,9,9.002236,2,0.0022363662719726562
Reiss,Nelson,0,0.010249257,3,0.01024925708770752
Ainsley,Maitland-Niles,1,1.0048585,3,0.004858493804931641
Edward,Nketiah,1,1.0048585,4,0.004858493804931641
Konstantinos,Mavropanos,0,0.010249257,2,0.01024925708770752
Pierre-Emerick,Aubameyang,93,94.02465,4,1.0246505737304688
Asmir,Begovic,48,48.083065,1,0.08306503295898438
Artur,Boruc,0,0.010249257,1,0.01024925708770752
Simon,Francis,34,33.980755,2,0.019245147705078125
Steve,Cook,48,48.161613,2,0.16161346435546875
Charlie,Daniels,19,19.012428,2,0.01242828369140625
Adam,Smith,37,37.176136,2,0.17613601684570312
Tyrone,Mings,2,2.0038505,2,0.0038504600524902344
Nathan,AkÃ©,46,46.450695,2,0.4506950378417969
Harry,Arter,20,19.99997,3,3.0517578125e-05
Marc,Pugh,0,0.010468513,3,0.010468512773513794
Andrew,Surman,12,12.006131,3,0.006131172180175781
Junior,Stanislas,20,19.993155,3,0.0068454742431640625
Dan,Gosling,16,15.964678,3,0.03532218933105469
Jordon,Ibe,6,5.995894,3,0.004106044769287109
Lewis,Cook,22,22.003225,3,0.0032253265380859375
Ryan,Fraser,86,86.031006,3,0.031005859375
Callum,Wilson,92,92.25711,4,0.257110595703125
Lys,Mousset,6,5.9998536,4,0.00014638900756835938
Joshua,King,55,54.98522,4,0.01477813720703125
Jermain,Defoe,4,4.0031323,4,0.003132343292236328
Jack,Simpson,0,0.010249257,2,0.01024925708770752
Emerson,Hyndman,0,0.010249257,3,0.01024925708770752
Mathew,Ryan,55,54.781124,1,0.21887588500976562
Lewis,Dunk,47,46.7108,2,0.2891998291015625
Shane,Duffy,56,56.03903,2,0.039028167724609375
Bruno,Saltor Grau,29,29.104313,2,0.10431289672851562
GaÃ«tan,Bong,28,28.10079,2,0.10079002380371094
Anthony,Knockaert,40,40.3241,3,0.3241004943847656
Dale,Stephens,14,14.001856,3,0.0018558502197265625
Beram,Kayal,25,24.996456,3,0.003543853759765625
Solomon,March,50,50.095127,3,0.09512710571289062
Pascal,GroÃ,16,16.002678,3,0.00267791748046875
Glenn,Murray,67,67.394806,4,0.394805908203125
Tomer,Hemed,0,0.018308789,4,0.018308788537979126
Sam,Baldock,0,0.010249257,4,0.01024925708770752
Markus,Suttner,0,0.012098074,2,0.012098073959350586
Davy,PrÃ¶pper,22,21.965158,3,0.03484153747558594
JosÃ© Heriberto,Izquierdo Mena,22,22.000937,3,0.0009365081787109375
Ezequiel,Schelotto,0,0.014367908,2,0.014367908239364624
JÃ¼rgen,Locadia,10,9.996107,4,0.0038928985595703125
Tom,Heaton,0,0.010249257,1,0.01024925708770752
Matthew,Lowton,21,21.014822,2,0.014822006225585938
Ben,Mee,33,32.980186,2,0.01981353759765625
Stephen,Ward,7,7.018407,2,0.01840686798095703
James,Tarkowski,30,29.998852,2,0.001148223876953125
Kevin,Long,10,10.01718,2,0.017180442810058594
Charlie,Taylor,25,24.996805,2,0.0031948089599609375
Johann Berg,Gudmundsson,56,55.737617,3,0.26238250732421875
Steven,Defour,10,10.005897,3,0.005896568298339844
Jeff,Hendrick,22,21.9671,3,0.03289985656738281
Robbie,Brady,10,9.977136,3,0.022864341735839844
Ashley,Westwood,30,29.997463,3,0.002536773681640625
Jonathan,Walters,0,0.010249257,3,0.01024925708770752
Jack,Cork,33,32.979053,3,0.020946502685546875
Sam,Vokes,42,41.994442,4,0.005558013916015625
Ashley,Barnes,29,29.12727,4,0.12726974487304688
Aaron,Lennon,38,37.982742,3,0.0172576904296875
Nahki,Wells,0,0.010249257,4,0.01024925708770752
Phil,Bardsley,2,2.0060492,2,0.006049156188964844
Georges-KÃ©vin,Nkoudou,0,0.010249257,3,0.01024925708770752
Nick,Pope,0,-0.018504024,1,0.018504023551940918
Chris,Wood,27,27.12043,4,0.12042999267578125
Anders,Lindegaard,0,0.010249257,1,0.01024925708770752
Dwight,McNeil,1,1.0048585,4,0.004858493804931641
Olivier,Giroud,34,34.048492,4,0.048492431640625
Thibaut,Courtois,0,0.05526164,1,0.05526164174079895
Willy,Caballero,0,0.010249257,1,0.01024925708770752
CÃ©sar,Azpilicueta,61,60.033363,2,0.9666366577148438
Gary,Cahill,1,1.0137577,2,0.013757705688476562
Marcos,Alonso,93,93.63747,2,0.6374664306640625
