,kickoff_time,kickoff_time_formatted,name,opponent_name,team_name,opponent_nextweek,predicted,actual
38044,2017-12-13T19:45:00Z,13 Dec 19:45,Ciaran_Clark,Everton,Newcastle,Arsenal,1.8035369,0.0
20079,2016-11-19T15:00:00Z,19 Nov 15:00,Matej_Vydra,Leicester,Watford,Stoke,0.10653019,0.0
25589,2017-08-27T15:00:00Z,27 Aug 16:00,Victor_Wanyama,Burnley,Tottenham,Everton,1.9732021,0.0
22199,2017-05-21T14:00:00Z,21 May 15:00,Sadio_Mané,Middlesbrough,Liverpool,0,0.04275492,0.0
32860,2017-12-02T12:30:00Z,02 Dec 12:30,Chancel_Mbemba,Chelsea,Newcastle,Leicester,0.42809463,0.0
29838,2018-02-10T15:00:00Z,10 Feb 15:00,Kurt_Zouma,Brighton,Stoke,Leicester,0.6280914,2.0
5810,2016-12-05T20:00:00Z,05 Dec 20:00,Dieumerci_Mbokani,Middlesbrough,Hull,Crystal Palace,0.024499893,0.0
8877,2017-05-16T18:45:00Z,16 May 19:45,Ainsley_Maitland-Niles,Sunderland,Arsenal,Tottenham,0.10498658,0.0
28073,2017-09-23T14:00:00Z,23 Sep 15:00,Ashley_Barnes,Huddersfield,Burnley,Everton,2.2599723,1.0
28223,2017-09-23T14:00:00Z,23 Sep 15:00,André_Carrillo,Swansea,Watford,West Brom,2.2825017,2.0
27662,2017-09-23T14:00:00Z,23 Sep 15:00,Benik_Afobe,Everton,Bournemouth,Leicester,0.112740844,1.0
40870,2018-05-06T15:30:00Z,06 May 16:30,Jonathan_Walters,Arsenal,Burnley,Bournemouth,0.10208455,0.0
42615,2018-04-21T14:00:00Z,21 Apr 15:00,Yohan_Cabaye,Watford,Crystal Palace,Leicester,1.3886427,2.0
33158,2018-04-07T14:00:00Z,07 Apr 15:00,Daniel_Bachmann,Burnley,Watford,Huddersfield,0.68297994,0.0
30253,2018-03-03T15:00:00Z,03 Mar 15:00,Jerome_Sinclair,West Brom,Watford,Arsenal,5.5033593,0.0
1438,2017-02-04T15:00:00Z,04 Feb 15:00,Dominic_Calvert-Lewin,Bournemouth,Everton,Middlesbrough,2.940501,0.0
35660,2017-12-26T17:30:00Z,26 Dec 17:30,Ragnar_Klavan,Swansea,Liverpool,Leicester,0.0314191,1.0
12573,2016-10-16T15:00:00Z,16 Oct 16:00,Andre_Gray,Southampton,Burnley,Everton,3.9405794,0.0
1098,2016-12-11T14:15:00Z,11 Dec 14:15,Pierre-Emile_Højbjerg,Middlesbrough,Southampton,Stoke,0.117531836,0.0
38075,2017-10-28T11:30:00Z,28 Oct 12:30,Anthony_Martial,Tottenham,Man United,Chelsea,0.13755238,1.0
35016,2018-03-04T13:30:00Z,04 Mar 13:30,Sead_Kolasinac,Brighton,Arsenal,Watford,1.6583054,6.0
25203,2018-04-22T12:30:00Z,22 Apr 13:30,Robbie_Brady,Stoke,Burnley,Brighton,0.14133969,0.0
9257,2016-08-13T16:30:00Z,13 Aug 17:30,Pablo_Zabaleta,Sunderland,Man City,Stoke,0.0906837,1.0
22501,2016-12-31T15:00:00Z,31 Dec 15:00,Rickie_Lambert,Southampton,West Brom,Hull,0.43533385,0.0
24791,2018-05-05T14:00:00Z,05 May 15:00,George_Thomas,West Ham,Leicester,Tottenham,0.8243263,0.0
14780,2017-04-15T14:00:00Z,15 Apr 15:00,Adama_Diomande,Stoke,Hull,Watford,1.5818862,0.0
18869,2017-04-30T13:05:00Z,30 Apr 14:05,David_Silva,Middlesbrough,Man City,Crystal Palace,0.67303056,9.0
40675,2018-03-17T15:00:00Z,17 Mar 15:00,Tom_Ince,Crystal Palace,Huddersfield,Newcastle,2.82634,0.0
1992,2016-08-27T14:00:00Z,27 Aug 15:00,Laurent_Koscielny,Watford,Arsenal,Southampton,0.1152671,10.0
29484,2018-03-11T13:30:00Z,11 Mar 13:30,Damian Emiliano_Martinez,Watford,Arsenal,Leicester,3.4101357,0.0
4465,2017-01-14T17:30:00Z,14 Jan 17:30,Matt_Miazga,Leicester,Chelsea,Hull,1.8681163,0.0
32043,2018-01-02T20:00:00Z,02 Jan 20:00,Brahim_Diaz,Watford,Man City,Liverpool,1.3489939,0.0
40979,2018-03-31T16:30:00Z,31 Mar 17:30,Joel_Robles,Man City,Everton,Liverpool,0.02305144,0.0
25015,2017-10-21T14:00:00Z,21 Oct 15:00,Joshua_King,Stoke,Bournemouth,Chelsea,0.7465249,0.0
44438,2017-12-28T20:00:00Z,28 Dec 20:00,Timothy_Fosu-Mensah,Arsenal,Crystal Palace,Man City,0.81697035,6.0
7564,2017-03-18T17:30:00Z,18 Mar 17:30,Adam_Federici,Swansea,Bournemouth,Southampton,3.4181538,0.0
24390,2017-10-29T16:00:00Z,29 Oct 16:00,Kasper_Schmeichel,Everton,Leicester,Stoke,0.20504636,2.0
21322,2017-04-10T19:00:00Z,10 Apr 20:00,Mohamed_Elneny,Crystal Palace,Arsenal,Middlesbrough,0.04605332,0.0
40727,2017-10-14T14:00:00Z,14 Oct 15:00,Bruno_Martins Indi,Man City,Stoke,Bournemouth,3.5526493,0.0
636,2016-10-02T13:15:00Z,02 Oct 14:15,Ron-Robert_Zieler,Southampton,Leicester,Chelsea,3.1108618,0.0
43693,2018-02-12T20:00:00Z,12 Feb 20:00,Charly_Musonda,West Brom,Chelsea,Man United,3.542722,0.0
19208,2017-02-11T15:00:00Z,11 Feb 15:00,Michael_Ledger,Southampton,Sunderland,Everton,1.5649716,0.0
27776,2018-02-24T15:00:00Z,24 Feb 15:00,Javier_Manquillo,Bournemouth,Newcastle,Liverpool,0.122997224,0.0
3087,2017-03-04T15:00:00Z,04 Mar 15:00,Ben_Wynter,West Brom,Crystal Palace,Tottenham,5.008967,0.0
9143,2017-05-16T19:00:00Z,16 May 20:00,James_Morrison,Man City,West Brom,Leicester,1.7462206,1.0
6173,2016-12-18T13:30:00Z,18 Dec 13:30,Junior_Stanislas,Southampton,Bournemouth,Chelsea,0.1628311,1.0
